ID;TypeOfEducation;IdeologicalBasisOfTheSchool;Schoolsize;Periods;SchoolsInstitutions_1;EnrolledPupilsStudents_2
0;A025301;T001305;T001304;1990SJ00;9332;1529513
1;A025301;T001305;T001304;1991SJ00;9315;1494392
2;A025301;T001305;T001304;1992SJ00;9199;1501585
3;A025301;T001305;T001304;1993SJ00;9003;1515330
4;A025301;T001305;T001304;1994SJ00;8719;1541810
5;A025301;T001305;T001304;1995SJ00;8262;1569616
6;A025301;T001305;T001304;1996SJ00;8131;1593978
7;A025301;T001305;T001304;1997SJ00;7957;1613655
8;A025301;T001305;T001304;1998SJ00;7893;1628595
9;A025301;T001305;T001304;1999SJ00;7843;1638695
10;A025301;T001305;T001304;2000SJ00;7759;1643930
11;A025301;T001305;T001304;2001SJ00;7728;1652537
12;A025301;T001305;T001304;2002SJ00;7722;1653739
13;A025301;T001305;T001304;2003SJ00;7679;1653280
14;A025301;T001305;T001304;2004SJ00;7638;1654970
15;A025301;T001305;T001304;2005SJ00;7619;1656831
16;A025301;T001305;T001304;2006SJ00;7584;1657199
17;A025301;T001305;T001304;2007SJ00;7552;1662138
18;A025301;T001305;T001304;2008SJ00;7546;1663651
19;A025301;T001305;T001304;2009SJ00;7533;1659397
20;A025301;T001305;T001304;2010SJ00;7484;1646613
21;A025301;T001305;T001304;2011SJ00;7435;1629419
22;A025301;T001305;T001304;2012SJ00;7361;1608350
23;A025301;T001305;T001304;2013SJ00;7262;1586085
24;A025301;T001305;T001304;2014SJ00;7157;1565375
25;A025301;T001305;T001304;2015SJ00;6986;1546049
26;A025301;T001305;T001304;2016SJ00;6894;1528206
27;A025301;T001305;T001304;2017SJ00;6805;1515489
28;A025301;T001305;T001304;2018SJ00;6741;1508854
29;A025301;T001305;T001304;2019SJ00;6707;1501997
30;A025301;T001305;T001304;2020SJ00;6661;1491988
31;A025301;T001305;T001304;2021SJ00;6608;1477938
32;A025301;T001305;A041906;1990SJ00;2542;168484
33;A025301;T001305;A041906;1991SJ00;2638;174852
34;A025301;T001305;A041906;1992SJ00;2547;171543
35;A025301;T001305;A041906;1993SJ00;2402;161008
36;A025301;T001305;A041906;1994SJ00;2165;146166
37;A025301;T001305;A041906;1995SJ00;1877;126406
38;A025301;T001305;A041906;1996SJ00;1787;121042
39;A025301;T001305;A041906;1997SJ00;1639;111553
40;A025301;T001305;A041906;1998SJ00;1562;106030
41;A025301;T001305;A041906;1999SJ00;1536;103786
42;A025301;T001305;A041906;2000SJ00;1471;101504
